column_name,mean,std,min,max,missing_count
Air Temperature,12.651891468312273,10.324629431538375,-19.67,34.1,0
Wet Bulb Temperature,10.224734625279037,9.030396615973407,-19.4,26.9,0
Humidity,68.05384825566708,15.542196860643145,23.0,100.0,0
Rain Intensity,0.10449397074820463,0.9375807988228431,0.0,24.0,0
Interval Rain,0.11471338499053982,0.7534718197554814,0.0,15.04,0
Total Rain,133.24554907692385,180.95749359716032,0.0,1021.0,0
Precipitation Type,3.8345164998891588,14.827559468690243,0.0,70.0,0
Wind Direction,140.63083141294317,121.98417302125564,0.0,359.0,0
Wind Speed,2.8705889024648013,1.7121201712781187,0.0,12.4,0
Maximum Wind Speed,3.500358816524119,2.9750889527156072,0.0,17.4,0
Barometric Pressure,994.3582978898908,6.79804187726987,967.5,1016.6,0
Solar Radiation,117.99117909378207,213.8940360266441,-6.0,964.0,0
Heading,309.8667945208304,118.0990316063813,0.0,359.0,0
Battery Life,13.165738692897392,1.5430016356747465,11.7,15.2,0
