Humidity,Wet Bulb Temperature,Wind Speed,Solar Radiation
86,5.9,5.1,38
76,4.3,7.2,4
55,7.0,1.9,780
59,14.8,4.0,556
61,14.8,1.2,322
56,6.3,1.5,180
52,14.8,2.2,174
54,6.5,1.9,127
53,6.3,1.4,67
58,14.8,1.9,79
52,6.4,1.1,10
59,14.8,2.1,5
62,14.8,2.8,0
58,7.4,1.3,2
66,14.8,1.8,0
58,7.5,1.7,3
63,14.8,2.0,0
45,7.1,0.7,2
32,9.0,2.0,434
50,14.8,3.9,355
55,14.8,3.7,521
42,10.9,2.3,799
50,14.8,3.4,669
62,11.6,2.0,850
59,14.8,1.5,769
53,14.8,1.8,828
55,11.2,2.5,900
50,11.7,2.2,887
53,14.8,0.5,846
51,14.8,0.8,725
50,14.8,1.8,602
45,12.5,2.0,563
51,14.8,1.8,445
43,12.4,2.0,53
40,12.4,1.1,44
51,14.8,1.7,279
49,14.8,4.3,155
55,14.8,1.9,5
41,11.8,1.3,6
56,14.8,2.3,0
38,12.1,1.5,0
51,14.8,1.1,0
44,12.8,1.5,0
54,14.8,2.1,0
41,13.3,0.8,0
38,14.8,3.9,0
33,13.4,1.0,0
39,13.5,0.4,0
40,14.8,2.8,0
42,14.8,1.8,0
39,13.5,0.0,0
44,14.8,1.7,0
40,13.4,0.5,0
50,14.8,1.2,0
53,13.3,0.9,0
64,12.8,0.5,16
65,14.8,1.1,25
55,13.7,0.4,43
65,14.8,2.6,58
62,14.8,1.1,66
68,14.0,0.7,59
76,14.0,0.6,120
74,14.8,1.9,234
56,13.7,2.5,251
73,14.8,1.0,308
59,13.5,2.1,439
77,14.8,1.3,299
63,13.4,2.3,358
65,13.6,1.7,226
76,14.8,2.8,359
70,12.6,1.1,266
73,14.3,1.0,40
75,14.8,1.1,67
82,13.4,1.0,47
87,14.8,0.4,51
88,13.1,0.8,38
88,14.8,0.8,46
87,14.8,0.9,33
86,14.2,0.5,17
87,16.4,2.1,4
82,15.7,2.4,1
87,14.8,2.0,0
85,14.8,2.9,0
84,15.3,1.0,2
65,19.0,0.7,0
60,14.8,3.5,0
61,14.8,5.3,0
64,19.0,1.4,0
62,14.8,4.1,1
63,19.1,1.2,0
63,14.8,6.8,0
64,19.3,1.5,0
66,19.0,0.9,0
65,14.8,4.9,0
70,19.0,1.3,0
68,14.8,3.0,0
69,14.8,4.3,0
71,19.1,1.7,0
72,18.6,0.7,9
68,14.8,8.1,14
75,14.8,5.1,56
78,19.4,1.5,26
74,19.5,1.6,142
65,14.8,10.4,296
69,19.6,2.1,251
72,19.7,1.2,126
68,14.8,5.6,173
85,14.8,3.3,280
85,18.3,2.1,336
73,14.8,6.3,133
74,19.0,2.0,138
75,14.8,3.7,398
65,19.3,3.4,506
65,14.8,7.8,666
58,19.2,1.3,673
55,14.8,4.6,403
54,19.1,2.1,229
54,14.8,3.5,179
52,14.8,7.0,214
55,19.2,1.1,163
49,14.8,7.9,303
50,19.0,1.6,55
48,14.8,5.0,146
49,18.8,0.9,39
50,14.8,2.7,12
52,18.6,0.9,0
52,14.8,2.2,1
52,18.4,1.5,0
54,14.8,3.1,1
58,18.8,1.6,0
54,14.8,3.3,1
65,14.8,4.1,1
66,19.2,1.4,0
71,19.6,2.6,0
70,14.8,3.4,0
76,19.7,2.2,0
76,14.8,2.0,1
80,14.8,4.9,0
80,19.4,1.9,0
82,19.1,1.7,0
83,14.8,2.4,0
84,19.1,0.8,0
83,14.8,1.6,0
83,19.0,1.0,17
82,14.8,3.4,14
87,14.8,2.4,163
85,16.8,2.1,154
84,17.4,1.9,106
88,14.8,3.8,74
79,19.2,2.5,234
86,14.8,4.4,248
81,14.8,6.3,429
86,19.1,2.6,360
76,18.9,0.7,481
63,14.8,7.1,569
65,14.8,4.1,229
66,19.5,1.6,658
65,14.8,6.9,137
70,20.3,0.6,139
71,14.8,6.9,293
66,14.8,4.9,32
67,14.8,2.5,12
73,18.2,1.7,13
70,14.8,4.2,0
70,17.9,0.8,0
70,14.8,1.9,1
69,17.9,0.9,0
70,14.8,2.5,0
73,14.8,4.6,0
73,18.4,2.0,0
71,18.1,0.8,0
71,14.8,3.5,1
76,17.9,1.5,0
73,14.8,3.7,0
76,14.8,3.9,1
78,17.7,2.6,0
67,17.6,2.3,783
64,14.8,4.8,584
58,14.8,3.1,723
62,17.6,1.3,191
57,14.8,2.1,297
57,17.1,1.6,328
58,14.8,2.9,82
68,17.9,1.3,361
62,14.8,3.4,250
52,17.0,0.9,160
58,14.8,4.9,239
58,14.8,3.3,568
56,16.8,1.4,269
72,15.8,2.6,31
67,14.8,2.4,289
58,16.0,2.0,847
69,14.8,2.4,766
70,14.8,2.1,836
66,14.8,1.7,827
62,16.2,1.3,918
68,14.8,2.0,813
66,14.8,1.1,733
65,14.8,1.0,491
56,16.5,0.6,553
62,15.9,0.5,79
64,14.8,2.1,501
66,14.8,0.8,306
64,15.8,0.7,60
65,14.8,0.8,132
64,15.5,0.7,41
69,14.8,1.0,17
63,15.4,0.9,12
67,15.1,1.4,1
73,14.8,3.2,0
70,14.7,1.5,1
74,14.8,1.1,0
74,14.8,1.6,0
73,14.8,2.1,0
66,16.0,1.4,0
64,16.7,1.1,0
74,14.8,2.0,0
62,17.6,2.2,0
66,14.8,2.2,0
61,14.8,3.2,1
64,18.3,1.1,0
64,14.8,3.0,0
67,18.6,1.5,0
72,18.4,2.0,0
70,14.8,3.4,1
83,14.8,1.7,30
78,18.2,1.5,28
84,14.8,1.1,122
74,18.8,0.8,167
79,14.8,3.3,337
71,19.9,1.3,397
80,14.8,1.7,471
69,19.9,1.0,535
57,14.8,5.2,524
59,21.0,0.5,416
71,20.8,1.4,43
81,14.8,2.6,90
72,14.8,3.0,758
77,20.8,2.1,453
75,20.3,2.2,939
83,14.8,3.1,426
75,20.6,1.9,476
81,14.8,2.4,366
78,14.8,3.4,124
75,20.4,1.9,75
58,20.9,0.9,188
56,14.8,2.6,146
54,14.8,5.8,102
55,21.3,1.8,30
56,21.2,2.0,82
56,14.8,2.3,93
58,20.9,0.4,12
52,14.8,1.5,18
60,14.8,5.8,1
65,20.9,1.3,-2
67,20.7,1.2,-2
67,14.8,6.5,0
70,20.7,1.4,0
